"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Gemmatimonas aurantiaca","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","Gemmatimonas aurantiaca"
"Fimbriiglobus ruber","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Gemmataceae","g__Fimbriiglobus","Fimbriiglobus ruber"
"Gemmata obscuriglobus","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Gemmataceae","g__Gemmata","Gemmata obscuriglobus"
"Paludisphaera borealis","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Isosphaeraceae","g__Paludisphaera","Paludisphaera borealis"
"Singulisphaera acidiphila","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Isosphaeraceae","g__Singulisphaera","Singulisphaera acidiphila"
"Alphaproteobacteria bacterium 13 2 20CM 2 64 7","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Alphaproteobacteria_unclassified","f__Alphaproteobacteria_unclassified","g__Alphaproteobacteria_unclassified","Alphaproteobacteria bacterium 13 2 20CM 2 64 7"
"Brevundimonas abyssalis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","Brevundimonas abyssalis"
"Brevundimonas diminuta","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","Brevundimonas diminuta"
"Brevundimonas naejangsanensis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","Brevundimonas naejangsanensis"
"Brevundimonas subvibrioides","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","Brevundimonas subvibrioides"
"Brevundimonas vesicularis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","Brevundimonas vesicularis"
"Aureimonas altamirensis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Aurantimonadaceae","g__Aureimonas","Aureimonas altamirensis"
"Bosea sp Leaf344","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bosea","Bosea sp Leaf344"
"Bosea vaviloviae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bosea","Bosea vaviloviae"
"Bradyrhizobium erythrophlei","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","Bradyrhizobium erythrophlei"
"Bradyrhizobium japonicum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","Bradyrhizobium japonicum"
